x no_shield no_shield_neg shield_1 shield_1_neg shield_3 shield_3_neg
0 -0.16 -0.1748 0.0 0.004 0.0 0.004
1 -0.138 -0.1652 0.0 0.004 0.008 0.008
2 -0.1448 -0.1264 0.0 0.004 0.008 0.008
3 -0.1208 -0.1144 0.0 0.0 0.0 0.004
4 -0.1152 -0.114 0.0 0.004 0.004 0.004
5 -0.134 -0.1104 0.0 0.004 0.008 0.004
6 -0.1272 -0.1208 0.0 0.0 0.012 0.008
7 -0.0996 -0.1184 0.0 0.008 0.008 0.008
8 -0.132 -0.1116 0.0 0.012 0.012 0.004
9 -0.1164 -0.106 0.0 0.012 0.012 0.004
10 -0.1152 -0.1264 0.0 0.0 0.0 0.008
11 -0.1208 -0.1192 0.0 0.008 0.02 0.008
12 -0.1224 -0.116 0.004 0.008 0.004 0.004
13 -0.1252 -0.114 0.0 0.004 0.008 0.008
14 -0.1112 -0.1096 0.0 0.008 0.016 0.004
15 -0.1192 -0.1116 0.0 0.008 0.02 0.004
16 -0.124 -0.108 0.004 0.004 0.012 0.012
17 -0.1244 -0.1044 0.0 0.008 0.048 0.016
18 -0.108 -0.1188 0.0 0.048 0.08 0.012
19 -0.1 -0.108 0.004 0.076 0.096 0.012
20 -0.1256 -0.12 0.0 0.084 0.088 0.008
21 -0.1088 -0.1072 0.004 0.072 0.096 0.004
22 -0.1288 -0.122 0.004 0.084 0.084 0.024
23 -0.1196 -0.1188 0.004 0.076 0.08 0.016
24 -0.1096 -0.1108 0.004 0.08 0.092 0.012
25 -0.1172 -0.0924 0.0 0.08 0.088 0.02
26 -0.1088 -0.1068 0.008 0.084 0.088 0.028
27 -0.0996 -0.1104 0.004 0.084 0.084 0.068
28 -0.1056 -0.1088 0.004 0.084 0.092 0.08
29 -0.0912 -0.1064 0.008 0.08 0.084 0.08
30 -0.0872 -0.1044 0.008 0.08 0.08 0.076
31 -0.0676 -0.1136 0.004 0.08 0.084 0.08
32 -0.052 -0.1036 0.0 0.084 0.092 0.08
33 -0.0492 -0.0816 0.004 0.08 0.08 0.076
34 -0.0468 -0.0604 0.004 0.084 0.092 0.076
35 -0.042 -0.0408 0.0 0.08 0.092 0.08
36 -0.0532 -0.056 0.004 0.076 0.092 0.08
37 -0.0608 -0.0432 0.012 0.08 0.096 0.072
38 -0.0448 -0.0508 0.0 0.076 0.088 0.08
39 -0.0568 -0.0636 0.0 0.076 0.092 0.08
40 -0.0264 -0.0476 0.012 0.076 0.072 0.08
41 -0.0564 -0.054 0.008 0.08 0.088 0.08
42 -0.0524 -0.0512 0.064 0.076 0.076 0.08
43 -0.0544 -0.0428 0.076 0.084 0.088 0.084
44 -0.0412 -0.0292 0.072 0.076 0.092 0.084
45 -0.042 -0.0436 0.076 0.072 0.088 0.084
46 -0.0472 -0.0416 0.088 0.08 0.1 0.084
47 -0.0388 -0.0472 0.076 0.08 0.08 0.072
48 -0.0448 -0.046 0.084 0.076 0.092 0.084
49 -0.0488 -0.054 0.08 0.068 0.088 0.08
50 -0.044 -0.0536 0.08 0.076 0.092 0.076
51 -0.0424 -0.0524 0.072 0.08 0.088 0.08
52 -0.0656 -0.0508 0.076 0.076 0.084 0.08
53 -0.0556 -0.054 0.08 0.084 0.112 0.084
54 -0.046 -0.0644 0.076 0.092 0.096 0.084
55 -0.0448 -0.0428 0.076 0.072 0.096 0.076
56 -0.0416 -0.0516 0.08 0.08 0.076 0.084
57 -0.0332 -0.0516 0.072 0.084 0.088 0.084
58 -0.0388 -0.0348 0.084 0.072 0.092 0.08
59 -0.0476 -0.0568 0.084 0.084 0.084 0.08
60 -0.0324 -0.0688 0.072 0.08 0.104 0.088
61 -0.0572 -0.0476 0.076 0.08 0.08 0.076
62 -0.066 -0.0588 0.08 0.072 0.076 0.076
63 -0.0272 -0.0556 0.08 0.076 0.096 0.084
64 -0.0564 -0.0424 0.08 0.076 0.096 0.08
65 -0.0252 -0.052 0.08 0.08 0.08 0.08
66 -0.0468 -0.048 0.076 0.084 0.092 0.076
67 -0.042 -0.0472 0.072 0.076 0.088 0.08
68 -0.038 -0.054 0.076 0.08 0.088 0.08
69 -0.0484 -0.05 0.08 0.076 0.104 0.08
70 -0.0508 -0.0616 0.076 0.076 0.084 0.084
71 -0.0324 -0.0452 0.076 0.08 0.096 0.076
72 -0.0448 -0.0392 0.08 0.076 0.088 0.076
73 -0.0396 -0.0636 0.092 0.072 0.08 0.08
74 -0.0464 -0.046 0.088 0.084 0.088 0.08
75 -0.0364 -0.0496 0.076 0.08 0.1 0.088
76 -0.06 -0.0468 0.072 0.08 0.088 0.076
77 -0.0364 -0.0472 0.08 0.076 0.092 0.08
78 -0.0432 -0.0464 0.076 0.08 0.088 0.08
79 -0.0496 -0.054 0.076 0.08 0.084 0.08
80 -0.0412 -0.0432 0.076 0.08 0.084 0.08
81 -0.0476 -0.0516 0.08 0.072 0.096 0.08
82 -0.0404 -0.048 0.072 0.08 0.1 0.084
83 -0.0376 -0.0564 0.08 0.08 0.096 0.076
84 -0.0644 -0.0552 0.084 0.076 0.084 0.084
85 -0.0536 -0.0544 0.072 0.084 0.1 0.072
86 -0.0396 -0.0632 0.088 0.08 0.08 0.068
87 -0.0416 -0.0456 0.084 0.076 0.088 0.08
88 -0.0376 -0.0556 0.076 0.076 0.084 0.08
89 -0.0428 -0.048 0.076 0.076 0.088 0.084
90 -0.046 -0.0584 0.076 0.08 0.08 0.072
91 -0.0484 -0.0488 0.08 0.076 0.072 0.076
92 -0.0628 -0.0488 0.084 0.072 0.08 0.072
93 -0.0444 -0.0528 0.068 0.088 0.092 0.076
94 -0.0444 -0.028 0.08 0.076 0.096 0.076
95 -0.0532 -0.0648 0.072 0.08 0.088 0.072
96 -0.048 -0.0416 0.076 0.076 0.084 0.088
97 -0.036 -0.0596 0.076 0.076 0.076 0.084
98 -0.044 -0.0464 0.076 0.076 0.092 0.076
99 -0.0552 -0.0556 0.076 0.076 0.092 0.076
