x no_shield no_shield_neg shield_1 shield_1_neg shield_3 shield_3_neg
0 -0.1399 -0.1334 0.001 0.002 0.005 0.005
1 -0.1194 -0.1219 0.001 0.003 0.006 0.005
2 -0.1175 -0.1195 0.002 0.005 0.008 0.009
3 -0.111 -0.1158 0.004 0.002 0.009 0.009
4 -0.1157 -0.1178 0.002 0.005 0.006 0.01
5 -0.1156 -0.1161 0.002 0.013 0.033 0.008
6 -0.0931 -0.1175 0.004 0.074 0.078 0.009
7 -0.0524 -0.1107 0.004 0.08 0.078 0.005
8 -0.0488 -0.1171 0.003 0.077 0.082 0.018
9 -0.0501 -0.0836 0.002 0.078 0.081 0.061
10 -0.0557 -0.0445 0.004 0.077 0.085 0.077
11 -0.05 -0.0497 0.051 0.077 0.081 0.08
12 -0.0488 -0.0458 0.08 0.08 0.084 0.078
13 -0.0492 -0.0546 0.078 0.079 0.077 0.078
14 -0.0432 -0.0486 0.08 0.079 0.086 0.082
15 -0.0457 -0.0427 0.081 0.081 0.081 0.076
16 -0.044 -0.0485 0.078 0.079 0.085 0.081
17 -0.0523 -0.0448 0.079 0.078 0.089 0.081
18 -0.0382 -0.0508 0.08 0.075 0.089 0.078
19 -0.0411 -0.047 0.083 0.079 0.082 0.081
20 -0.0434 -0.0432 0.08 0.082 0.084 0.077
21 -0.0451 -0.0493 0.081 0.08 0.086 0.08
22 -0.0531 -0.0421 0.079 0.078 0.087 0.075
23 -0.0488 -0.0392 0.081 0.08 0.09 0.08
24 -0.0431 -0.0511 0.08 0.082 0.086 0.076
25 -0.0513 -0.0517 0.08 0.078 0.081 0.078
26 -0.0434 -0.0451 0.078 0.075 0.089 0.08
27 -0.0447 -0.049 0.078 0.078 0.084 0.078
28 -0.0473 -0.0457 0.08 0.079 0.087 0.079
29 -0.0453 -0.0471 0.078 0.078 0.087 0.074
30 -0.0529 -0.0478 0.081 0.082 0.083 0.079
31 -0.0445 -0.0547 0.084 0.08 0.079 0.079
32 -0.0479 -0.0464 0.078 0.077 0.083 0.08
33 -0.0448 -0.048 0.081 0.079 0.085 0.082
34 -0.0444 -0.0477 0.079 0.081 0.08 0.078
35 -0.051 -0.046 0.08 0.079 0.087 0.081
36 -0.0473 -0.0504 0.082 0.082 0.09 0.079
37 -0.0491 -0.0482 0.081 0.078 0.087 0.078
38 -0.047 -0.0539 0.077 0.079 0.083 0.082
39 -0.0515 -0.0501 0.079 0.076 0.085 0.075
40 -0.0513 -0.0494 0.083 0.079 0.079 0.076
41 -0.0478 -0.0378 0.081 0.076 0.08 0.077
42 -0.0446 -0.0549 0.081 0.081 0.081 0.082
43 -0.0477 -0.0395 0.079 0.079 0.084 0.079
44 -0.0507 -0.0501 0.08 0.08 0.087 0.078
45 -0.0498 -0.0438 0.084 0.082 0.089 0.077
46 -0.0616 -0.0476 0.082 0.078 0.083 0.076
47 -0.0564 -0.0555 0.083 0.079 0.084 0.077
48 -0.0517 -0.0458 0.08 0.08 0.089 0.081
49 -0.0507 -0.0546 0.078 0.08 0.086 0.08
50 -0.0507 -0.0484 0.077 0.08 0.081 0.081
51 -0.051 -0.0519 0.079 0.08 0.092 0.085
52 -0.0502 -0.043 0.083 0.078 0.087 0.077
53 -0.0504 -0.0508 0.079 0.08 0.085 0.078
54 -0.0483 -0.049 0.081 0.079 0.085 0.08
55 -0.0467 -0.0563 0.081 0.08 0.086 0.083
56 -0.054 -0.0596 0.08 0.079 0.085 0.08
57 -0.0549 -0.0505 0.082 0.08 0.082 0.078
58 -0.0501 -0.0515 0.081 0.082 0.086 0.082
59 -0.0509 -0.0428 0.078 0.078 0.085 0.079
60 -0.0501 -0.0478 0.08 0.08 0.089 0.08
61 -0.0499 -0.0549 0.083 0.075 0.087 0.08
62 -0.0552 -0.052 0.079 0.079 0.084 0.082
63 -0.0494 -0.0492 0.079 0.081 0.084 0.08
64 -0.054 -0.0473 0.083 0.075 0.088 0.083
65 -0.0435 -0.0457 0.08 0.082 0.088 0.075
66 -0.0458 -0.0468 0.08 0.077 0.089 0.08
67 -0.05 -0.045 0.079 0.081 0.088 0.078
68 -0.0535 -0.0525 0.081 0.076 0.08 0.079
69 -0.0509 -0.0558 0.085 0.082 0.083 0.078
70 -0.0553 -0.0529 0.081 0.08 0.083 0.075
71 -0.0499 -0.0511 0.078 0.081 0.084 0.078
72 -0.0464 -0.0493 0.081 0.077 0.085 0.081
73 -0.0563 -0.057 0.08 0.08 0.088 0.083
74 -0.0518 -0.046 0.08 0.08 0.087 0.079
75 -0.05 -0.0443 0.08 0.081 0.088 0.081
76 -0.0487 -0.0473 0.077 0.077 0.087 0.08
77 -0.054 -0.0571 0.08 0.081 0.078 0.079
78 -0.0449 -0.047 0.079 0.079 0.087 0.083
79 -0.0528 -0.042 0.08 0.081 0.082 0.078
80 -0.0456 -0.0439 0.083 0.079 0.085 0.078
81 -0.0556 -0.0507 0.08 0.078 0.086 0.079
82 -0.0485 -0.0474 0.079 0.083 0.088 0.081
83 -0.0504 -0.0495 0.081 0.083 0.086 0.085
84 -0.0475 -0.0478 0.083 0.082 0.089 0.081
85 -0.0475 -0.049 0.083 0.077 0.082 0.082
86 -0.0486 -0.0479 0.081 0.081 0.084 0.088
87 -0.0465 -0.0491 0.081 0.082 0.09 0.084
88 -0.047 -0.0498 0.084 0.082 0.082 0.089
89 -0.047 -0.0486 0.079 0.082 0.09 0.085
90 -0.0405 -0.0555 0.083 0.081 0.086 0.083
91 -0.0512 -0.0476 0.08 0.075 0.082 0.084
92 -0.0517 -0.0471 0.083 0.079 0.087 0.083
93 -0.057 -0.0515 0.079 0.079 0.081 0.083
94 -0.0545 -0.0409 0.081 0.081 0.086 0.083
95 -0.053 -0.0489 0.081 0.078 0.083 0.086
96 -0.0567 -0.0441 0.08 0.076 0.082 0.084
97 -0.0511 -0.042 0.081 0.08 0.09 0.087
98 -0.0468 -0.0506 0.08 0.081 0.084 0.08
99 -0.0563 -0.051 0.085 0.085 0.083 0.086
