x no_shield shield_1 shield_1_neg shield_3 shield_3_neg
0 -0.1515 0.0 0.0 0.0 0.0
1 -0.151 0.0 0.0 0.005 0.0
2 -0.165 0.002 0.0 0.005 0.005
3 -0.132 0.001 0.0 0.005 0.0
4 -0.1365 0.002 0.0 0.005 0.005
5 -0.128 0.003 0.005 0.01 0.01
6 -0.125 0.003 0.005 0.01 0.01
7 -0.1155 0.003 0.0 0.005 0.0
8 -0.1125 0.003 0.005 0.005 0.005
9 -0.1205 0.009 0.0 0.005 0.005
10 -0.108 0.075 0.0 0.01 0.005
11 -0.0975 0.08 0.005 0.005 0.005
12 -0.1235 0.081 0.005 0.01 0.01
13 -0.1155 0.083 0.005 0.015 0.005
14 -0.1135 0.081 0.005 0.0 0.005
15 -0.122 0.081 0.005 0.015 0.005
16 -0.106 0.078 0.005 0.015 0.005
17 -0.111 0.077 0.005 0.015 0.015
18 -0.107 0.08 0.0 0.015 0.005
19 -0.1065 0.078 0.01 0.035 0.01
20 -0.11 0.08 0.005 0.05 0.01
21 -0.113 0.078 0.005 0.065 0.015
22 -0.11 0.081 0.01 0.095 0.015
23 -0.1155 0.081 0.0 0.08 0.005
24 -0.0985 0.081 0.01 0.1 0.02
25 -0.1125 0.081 0.01 0.09 0.015
26 -0.113 0.079 0.015 0.12 0.025
27 -0.1055 0.083 0.02 0.105 0.02
28 -0.091 0.081 0.015 0.12 0.03
29 -0.109 0.082 0.055 0.115 0.06
30 -0.1095 0.075 0.07 0.11 0.08
31 -0.1045 0.081 0.085 0.13 0.085
32 -0.1065 0.074 0.08 0.14 0.09
33 -0.0875 0.082 0.095 0.135 0.09
34 -0.1045 0.08 0.09 0.125 0.09
35 -0.099 0.077 0.1 0.135 0.105
36 -0.086 0.075 0.1 0.15 0.085
37 -0.0815 0.081 0.105 0.155 0.105
38 -0.0465 0.079 0.11 0.15 0.11
39 -0.021 0.081 0.1 0.155 0.105
40 -0.0285 0.082 0.115 0.15 0.115
41 -0.022 0.079 0.125 0.16 0.105
42 -0.0005 0.08 0.115 0.17 0.125
43 -0.0045 0.078 0.115 0.165 0.11
44 0.006 0.079 0.12 0.17 0.12
45 0.0105 0.082 0.125 0.185 0.13
46 0.0135 0.079 0.13 0.185 0.125
47 0.018 0.083 0.135 0.19 0.135
48 0.021 0.076 0.125 0.185 0.135
49 0.015 0.079 0.135 0.19 0.125
50 0.0335 0.076 0.135 0.21 0.14
51 0.0185 0.084 0.14 0.195 0.14
52 0.047 0.08 0.14 0.2 0.14
53 0.025 0.085 0.14 0.195 0.15
54 0.043 0.078 0.145 0.215 0.15
55 0.046 0.083 0.15 0.205 0.14
56 0.055 0.079 0.15 0.2 0.155
57 0.0585 0.078 0.155 0.21 0.155
58 0.057 0.081 0.16 0.215 0.155
59 0.079 0.081 0.155 0.215 0.165
60 0.0675 0.079 0.16 0.22 0.155
61 0.0525 0.085 0.16 0.225 0.16
62 0.0815 0.079 0.155 0.225 0.17
63 0.084 0.08 0.175 0.225 0.165
64 0.097 0.083 0.17 0.23 0.17
65 0.0955 0.078 0.165 0.23 0.165
66 0.1025 0.083 0.17 0.23 0.175
67 0.111 0.081 0.175 0.235 0.175
68 0.112 0.078 0.175 0.24 0.175
69 0.107 0.082 0.17 0.225 0.185
70 0.116 0.079 0.18 0.235 0.18
71 0.127 0.082 0.18 0.245 0.185
72 0.1255 0.082 0.18 0.245 0.175
73 0.127 0.081 0.19 0.245 0.185
74 0.1365 0.08 0.18 0.24 0.19
75 0.1245 0.081 0.19 0.245 0.195
76 0.1285 0.079 0.19 0.255 0.19
77 0.147 0.08 0.19 0.255 0.19
78 0.1475 0.08 0.19 0.25 0.19
79 0.1475 0.08 0.19 0.25 0.195
80 0.1465 0.08 0.19 0.255 0.195
81 0.14 0.082 0.2 0.255 0.2
82 0.143 0.083 0.19 0.255 0.195
83 0.1545 0.08 0.195 0.255 0.2
84 0.158 0.077 0.2 0.26 0.195
85 0.1605 0.079 0.2 0.26 0.205
86 0.159 0.081 0.205 0.26 0.205
87 0.1705 0.079 0.205 0.26 0.205
88 0.173 0.082 0.2 0.265 0.205
89 0.17 0.082 0.21 0.265 0.205
90 0.1665 0.077 0.205 0.265 0.205
91 0.1755 0.082 0.205 0.265 0.21
92 0.175 0.076 0.205 0.265 0.21
93 0.1775 0.08 0.205 0.265 0.21
94 0.1875 0.081 0.21 0.27 0.21
95 0.1835 0.081 0.21 0.265 0.21
96 0.189 0.083 0.21 0.27 0.21
97 0.1875 0.084 0.215 0.265 0.215
98 0.182 0.084 0.21 0.27 0.21
99 0.193 0.08 0.21 0.265 0.215
