x no_shield no_shield_neg shield_1 shield_1_neg shield_3 shield_3_neg
0 -0.1814 -0.108 0.004 0.004 0.002 0.004
1 -0.181 -0.0226 0.004 0.002 0.002 0.002
2 -0.1706 -0.0128 0.004 0.004 0.004 0.004
3 -0.147 -0.0182 0.002 0.002 0.002 0.002
4 -0.1466 -0.0114 0.006 0.002 0.004 0.002
5 -0.1548 -0.0094 0.0 0.0 0.004 0.002
6 -0.1332 -0.0088 0.004 0.002 0.004 0.004
7 -0.1494 -0.0082 0.002 0.006 0.006 0.006
8 -0.1518 -0.0108 0.002 0.002 0.004 0.002
9 -0.1448 -0.011 0.004 0.0 0.004 0.004
10 -0.139 -0.0072 0.002 0.004 0.0 0.004
11 -0.1582 -0.01 0.004 0.0 0.006 0.004
12 -0.1504 -0.0086 0.002 0.004 0.004 0.006
13 -0.137 -0.0122 0.002 0.002 0.004 0.006
14 -0.1362 -0.007 0.002 0.0 0.002 0.002
15 -0.1522 -0.0098 0.008 0.006 0.002 0.006
16 -0.156 -0.0088 0.004 0.002 0.006 0.008
17 -0.1482 -0.0074 0.008 0.002 0.006 0.002
18 -0.1398 -0.0124 0.002 0.002 0.002 0.01
19 -0.1428 -0.0048 0.01 0.008 0.004 0.03
20 -0.1378 -0.0138 0.002 0.004 0.008 0.068
21 -0.1576 -0.0122 0.002 0.006 0.002 0.088
22 -0.1604 -0.011 0.004 0.008 0.004 0.096
23 -0.1256 -0.0064 0.002 0.004 0.0 0.108
24 -0.0854 -0.011 0.002 0.002 0.0 0.118
25 -0.0538 -0.0058 0.004 0.004 0.004 0.116
26 -0.0564 -0.0026 0.008 0.008 0.01 0.12
27 -0.0356 -0.0068 0.024 0.006 0.006 0.126
28 -0.0342 -0.0092 0.082 0.006 0.036 0.138
29 -0.023 -0.006 0.088 0.002 0.086 0.14
30 -0.0024 -0.0106 0.092 0.0 0.094 0.146
31 0.0024 -0.0114 0.1 0.002 0.104 0.152
32 0.0332 -0.0106 0.106 0.002 0.108 0.158
33 0.0326 -0.0094 0.106 0.004 0.112 0.16
34 0.0608 -0.0018 0.116 0.032 0.122 0.164
35 0.0578 -0.0068 0.124 0.078 0.128 0.166
36 0.069 -0.004 0.12 0.09 0.136 0.172
37 0.0894 0.1162 0.128 0.096 0.138 0.178
38 0.0894 0.1758 0.13 0.102 0.142 0.178
39 0.1188 0.1732 0.14 0.102 0.152 0.182
40 0.1078 0.174 0.144 0.112 0.15 0.184
41 0.1208 0.1736 0.148 0.116 0.156 0.19
42 0.1294 0.1726 0.15 0.122 0.162 0.194
43 0.1362 0.1786 0.16 0.124 0.168 0.192
44 0.152 0.1762 0.164 0.132 0.172 0.196
45 0.1562 0.1784 0.166 0.134 0.176 0.198
46 0.1556 0.1774 0.17 0.136 0.178 0.198
