x y
0 -0.1814
1 -0.181
2 -0.1706
3 -0.147
4 -0.1466
5 -0.1548
6 -0.1332
7 -0.1494
8 -0.1518
9 -0.1448
10 -0.139
11 -0.1582
12 -0.1504
13 -0.137
14 -0.1362
15 -0.1522
16 -0.156
17 -0.1482
18 -0.1398
19 -0.1428
20 -0.1378
21 -0.1576
22 -0.1604
23 -0.1256
24 -0.0854
25 -0.0538
26 -0.0564
27 -0.0356
28 -0.0342
29 -0.023
30 -0.0024
31 0.0024
32 0.0332
33 0.0326
34 0.0608
35 0.0578
36 0.069
37 0.0894
38 0.0894
39 0.1188
40 0.1078
41 0.1208
42 0.1294
43 0.1362
44 0.152
45 0.1562
46 0.1556
47 0.1686
48 0.1664
49 0.1764
50 0.1764
51 0.1828
52 0.1824
53 0.1874
54 0.1908
55 0.1942
56 0.1964
57 0.198
58 0.1978
59 0.2012
60 0.206
61 0.2062
62 0.204
63 0.205
64 0.2104
65 0.2082
66 0.2068
67 0.21
68 0.2112
69 0.214
70 0.2108
71 0.2132
72 0.2112
73 0.2132
74 0.2138
75 0.2146
76 0.2148
77 0.2132
78 0.2168
79 0.2142
80 0.215
81 0.2172
82 0.215
83 0.2156
84 0.2178
85 0.2146
86 0.2174
87 0.2156
88 0.2176
89 0.216
90 0.2176
91 0.2154
92 0.218
93 0.2176
94 0.216
95 0.2176
96 0.2156
97 0.218
98 0.2178
99 0.216
