x y
0 0.004
1 0.002
2 0.004
3 0.002
4 0.002
5 0.0
6 0.002
7 0.006
8 0.002
9 0.0
10 0.004
11 0.0
12 0.004
13 0.002
14 0.0
15 0.006
16 0.002
17 0.002
18 0.002
19 0.008
20 0.004
21 0.006
22 0.008
23 0.004
24 0.002
25 0.004
26 0.008
27 0.006
28 0.006
29 0.002
30 0.0
31 0.002
32 0.002
33 0.004
34 0.032
35 0.078
36 0.09
37 0.096
38 0.102
39 0.102
40 0.112
41 0.116
42 0.122
43 0.124
44 0.132
45 0.134
46 0.136
47 0.146
48 0.144
49 0.156
50 0.156
51 0.162
52 0.166
53 0.168
54 0.174
55 0.176
56 0.176
57 0.18
58 0.182
59 0.182
60 0.188
61 0.188
62 0.192
63 0.192
64 0.194
65 0.196
66 0.194
67 0.2
68 0.198
69 0.196
70 0.202
71 0.2
72 0.202
73 0.202
74 0.204
75 0.202
76 0.206
77 0.204
78 0.204
79 0.206
80 0.206
81 0.204
82 0.208
83 0.206
84 0.206
85 0.206
86 0.208
87 0.206
88 0.208
89 0.206
90 0.208
91 0.206
92 0.208
93 0.208
94 0.208
95 0.206
96 0.208
97 0.208
98 0.208
99 0.208
