Wall time,Step,Value
1495411565.400359,1099,-1.5299999713897705
1495411573.285344,2399,-1.5199999809265137
1495411576.894232,2999,-0.5899999737739563
1495411586.881884,4599,-1.4500000476837158
1495411588.235114,4799,-1.3200000524520874
1495411590.098483,5099,-1.5099999904632568
1495411591.235466,5299,-1.600000023841858
1495411594.690453,5899,-1.5299999713897705
1495411596.495039,6199,-0.44999998807907104
1495411606.112338,7699,-0.4699999988079071
1495411608.026038,7999,-0.46000000834465027
1495411611.228921,8499,-0.4000000059604645
1495411616.131095,9299,-0.5199999809265137
1495411620.244619,9999,-0.5
1495411625.358077,10799,0.6800000071525574
1495411627.136356,11099,0.6200000047683716
1495411627.708671,11199,-0.38999998569488525
1495411631.920233,11899,-0.7400000095367432
1495411639.744528,13199,0.800000011920929
1495411647.392086,14499,-0.6000000238418579
1495411653.958448,15599,-0.1899999976158142
1495411656.823692,16099,-0.5899999737739563
1495411658.577756,16399,-0.7799999713897705
1495411663.757027,17299,-0.2800000011920929
1495411664.338495,17399,-0.8700000047683716
1495411670.099395,18399,-0.7699999809265137
1495411673.080576,18899,1.0
1495411674.235118,19099,0.9399999976158142
1495411674.810872,19199,-0.8600000143051147
1495411677.131754,19599,-0.8600000143051147
1495411681.735458,20399,-0.46000000834465027
1495411686.337772,21199,-0.30000001192092896
1495411686.906695,21299,0.3799999952316284
1495411689.816049,21799,0.33000001311302185
1495411697.063907,22899,-0.44999998807907104
1495411700.758687,23499,1.0
1495411703.689347,23999,0.07000000029802322
1495411705.420315,24299,0.6499999761581421
1495411712.786177,25499,-0.5899999737739563
1495411716.651752,26099,-0.15000000596046448
1495411719.918908,26599,0.6499999761581421
1495411724.275965,27299,-0.41999998688697815
1495411726.573809,27699,-0.33000001311302185
1495411727.718637,27899,-0.23000000417232513
1495411739.732248,29799,-0.5099999904632568
1495411742.952898,30299,-0.4699999988079071
1495411743.516546,30399,0.4399999976158142
1495411746.998652,30899,-0.41999998688697815
1495411750.032292,31399,-0.2199999988079071
1495411751.170276,31599,0.8899999856948853
1495411756.114343,32399,-0.3199999928474426
1495411756.69455,32499,-0.6700000166893005
1495411760.888541,33199,-0.14000000059604645
1495411763.205331,33599,-0.6800000071525574
1495411769.012999,34499,0.8799999952316284
1495411773.969145,35299,0.6600000262260437
1495411783.930604,36899,-0.11999999731779099
1495411786.243381,37299,0.7699999809265137
1495411789.902527,37899,0.8500000238418579
1495411792.278718,38299,-0.23999999463558197
1495411793.538764,38499,0.5299999713897705
