x no_shield shield_1 shield_1_pre
0 -0.901975919808 -3.54994639993 -17.1570599748
1 8.12787417339 -6.61302432299 14.8909893266
2 -6.23021186402 -47.2988488922 25.2939274276
3 -1.62796870833 4.2611727997 -23.8307371197
4 0.296763612136 23.6564171983 12.4084395273
5 2.38256638491 23.2775003542 23.5317809902
6 2.38052001235 8.72242360157 25.0350877912
7 2.39616871298 10.04969952 23.6680252576
8 2.39616871298 24.1359066224 23.5618390377
9 2.39616871298 25.5881337474 22.7296415712
10 2.39616871298 23.4424392394 24.8628670883
11 2.39616871298 16.0683208579 24.2699491897
12 2.40047419352 15.3453198111 24.0859882262
13 2.34998811037 18.0379901241 23.3705205481
14 2.36896405685 26.3996908128 15.250478301
15 2.41042557412 26.4123623911 20.820739461
16 2.40047419352 26.0583481132 24.3513745124
17 2.70365827231 22.4597082264 25.0848686183
18 2.39616871298 26.4526298654 22.9743788223
19 5.78791785015 23.9064907858 23.31655082
20 9.13065527909 27.0297344976 25.2966922929
21 2.6089074308 25.3814072774 25.1568435501
22 2.9790446365 25.9451469615 20.8383246795
23 4.677437496 24.9284455647 23.5513661323
24 4.4849254252 25.5057460389 23.8921357021
25 4.35542503816 25.5547047175 25.054944397
26 2.12818062869 23.2236151004 21.1499485061
27 2.98042503816 25.728083396 24.2263867327
28 2.74070585855 23.7267321952 23.8505202414
29 2.609235178 24.296293221 24.3349510654
30 -0.000406349344385 26.0666911279 23.6548725439
31 -0.605234456225 26.234594642 23.8824918643
32 2.85144512009 26.1146332274 24.83317295
33 -0.684675887144 25.7015108755 22.0254656994
34 -1.2455945405 25.8447980396 25.5450672889
35 -1.92819877107 24.0217767147 20.0161651165
36 -0.918934115989 25.0182244272 23.7993004551
37 -0.648208416845 25.8421404987 23.1620893206
38 -0.605234456225 26.122247845 25.5834117755
39 -0.293497841911 26.1266125186 23.4713614121
40 5.34214282028 25.5607412078 19.8687398254
41 3.98042503816 26.0119792496 24.3944012346
42 3.79462932725 25.4350565119 22.4743655979
43 3.48042503816 14.2141040079 25.297034056
44 2.7112483037 24.8949465636 24.0745968324
45 3.50867094615 22.8839734642 25.9519648649
46 2.69852183029 25.8950152271 24.4498440053
47 2.6089074308 24.4750431938 18.558368431
48 5.20607052995 24.8479379889 23.8166668123
49 10.2091684124 23.4685188063 26.9895106298
50 3.44314299818 24.3999692594 23.9893513939
51 3.36807389544 25.3321926461 25.9650558663
52 2.59438951151 24.2835583903 23.2437522164
53 3.9685566782 23.4148162977 25.4026405898
54 5.88770012306 25.6029975868 21.6832729903
55 4.64728299196 24.1463123147 24.1641978256
56 4.46598399295 24.1440653514 24.3846437719
57 4.39216676597 25.0546405883 25.9223549946
58 5.79409123021 2.38222549124 22.0815170957
59 4.26960751109 23.0336149972 22.7907295071
60 4.84573902316 24.4449092358 24.0037912973
61 4.7438284643 23.2640883888 23.6121563337
62 5.15354864493 24.1601712159 24.3073181873
63 4.62730628046 24.3667486008 22.9589213643
64 2.36182619385 23.6611015295 25.2159906425
65 4.2238000924 14.2240813808 26.119846417
66 4.74203122059 26.3872231202 19.8214751104
67 3.93948228923 26.3855941952 21.917412998
68 4.59464173439 24.704445344 23.4600831521
69 4.26305569392 23.8776376294 24.9157417867
70 4.68948228923 24.3918185621 26.2857791866
71 5.59464173439 23.8712683179 26.4774737516
72 4.296924502 24.681798005 22.5873106462
73 4.19517866428 13.996710901 10.331276859
74 4.3614404651 24.6635481469 23.3555895098
75 4.96184040081 26.1521919056 24.3383719647
76 5.59663279165 25.1516231869 24.2690969629
77 4.96020480306 24.3420163448 25.5565767223
78 6.08886777423 25.2873983944 24.0546407883
79 2.69056831515 25.4470826458 26.0361336731
80 4.82119431757 7.9910576399 24.1199933956
81 5.76651410679 23.45635937 24.7827804856
82 6.08361391308 26.5217726843 23.291733368
83 9.6311175375 24.4493249528 23.737257042
84 10.0586562007 24.1077004542 24.5108323368
85 10.5386844059 25.2862710236 23.9450161892
86 9.70997269139 24.8172218163 25.4905594781
87 11.821469109 21.5639838516 24.0717701291
88 12.2183065362 23.3441251593 23.4983318001
89 9.52764397327 23.4099639793 23.5436069672
90 10.6619176634 22.6760633365 23.6124140999
91 10.3353178683 15.7536863506 23.2200519635
92 11.4043609496 25.4862865945 23.639685045
93 11.5770195509 26.1702931906 21.5692632795
94 11.0874346666 25.2095151475 24.4372767449
95 21.5263223031 24.5331454184 25.8524623604
96 10.0875141875 26.4238553149 22.7106385518
97 4.82290622443 24.996230219 25.4846700043
98 5.73006334735 23.3037127474 23.7046331293
99 11.8787200462 26.482684232 19.9500418892
100 11.6033448177 24.1918596832 19.0705284742
101 11.6321342354 26.1475341711 22.8685421099
102 18.6783176893 25.9104530039 23.123709688
103 11.947330068 25.4949884824 22.5702568446
104 13.4424626555 24.3358862352 23.2816797618
105 13.1269133338 25.6324707369 23.553467224
106 12.9894676899 26.3039514616 23.5628175707
107 8.94377178379 26.0529490051 22.4287558553
108 8.0913232412 24.5360436197 24.1639726558
109 11.3928098081 25.1369796981 21.6008671045
110 13.2164243218 14.4683657275 19.8459674088
111 24.2222548744 21.1943909339 25.1764329628
112 10.7849111878 22.8094571583 24.0849123788
113 11.1231150872 23.7808447101 23.5481234822
114 13.8543929025 25.5610712381 23.2058939315
115 13.4806700303 23.669619483 19.7483502748
116 25.4277150976 24.3693367719 23.5947956019
117 12.2109393407 23.6054366408 23.3107778806
118 10.0090281283 21.8029948173 18.2485163529
119 17.7666300237 23.3262069106 17.0587435567
120 9.87400523002 26.1106471916 23.8582172922
121 8.05970132547 22.4436732701 16.053140786
122 12.6739507299 24.6216212911 26.1872739372
123 10.2083595115 25.9072808416 23.5180728451
124 17.828142974 24.1075332099 19.7947160445
125 3.63053206631 25.4570850517 19.3182137305
126 7.73470151975 25.8973272757 23.0424550606
127 25.9952161962 25.6285201143 22.8366180836
128 25.9911520177 24.6637399919 19.7466812027
129 19.8521569818 23.3043855278 20.0950294895
130 8.83204540303 25.3194615847 21.4512393965
131 17.8441571983 24.8680787481 26.4447708886
132 8.18159998267 25.7959866372 21.7574596099
133 26.5761451111 26.2657127682 19.8787244794
134 17.5879721063 26.728225332 19.9046782364
135 11.9066211301 21.0436765036 22.2112646096
136 26.961722852 24.2250484406 23.9126439244
137 26.870683121 24.9328973131 24.0810556894
138 26.1286833261 25.9012378075 22.9617569783
139 25.6844679472 25.6414799801 20.639164759
140 26.602185494 26.0613452854 24.5535096222
141 26.2835226091 25.4673228834 23.6583224649
142 4.48980205765 25.3527802617 23.8261146928
143 17.4919343122 24.4071006418 24.3439003288
144 16.9422658841 21.2853810383 24.6078179045
145 13.1299047209 16.9771553311 25.8899323174
146 23.7058522621 24.4841755077 26.525884637
147 25.3764526112 26.4306349128 26.3857586348
148 12.4183398633 24.1424458519 25.6022082441
149 13.0686758972 25.1618859373 22.9496429947
150 8.59316902908 17.8810306532 20.6801813624
151 8.42465461508 21.3438817035 21.6576265039
152 8.68374312715 24.197805104 26.1156040574
153 19.4609120924 24.8523961053 23.2186822687
154 24.9935526408 23.6950229699 24.4329898324
155 9.86355048886 24.416718218 24.5978580031
156 13.0649955219 26.5293227243 22.7400504682
157 19.496844354 25.9440421293 25.9849829907
158 19.0142408726 25.1052512562 23.9749657126
159 9.93248460662 23.9473731349 24.5503888931
160 9.97582345728 24.1885475023 22.2892651635
161 18.1519721931 25.9867587003 25.1893503149
162 8.52225318655 21.9116780828 -4.23978101544
163 25.2880121641 26.2766190972 -4.24774006428
164 18.6214506118 21.1642077155 25.8603445329
165 9.07195054212 19.7229298863 24.9760765034
166 21.9717187065 26.5248861315 23.9099925726
167 9.2162965911 25.6551819731 11.1574807916
168 17.3477336303 13.9906590168 24.6838218606
169 19.5724788716 26.1340416393 23.742719073
170 20.0584052175 24.9282780459 24.0080644954
171 18.5334282128 17.4056606791 25.1075065813
172 20.3516285547 17.5999210983 24.0143231466
173 25.891257258 25.5328778081 19.7323260126
174 26.6177667326 24.4100879901 -1.7504710357
175 25.878609662 18.5028942636 23.4801872316
176 21.5134285379 18.4601033652 -3.2074119834
177 26.9168560905 24.7501507282 24.777616738
178 26.6271042051 22.5383703303 2.6687238278
179 26.3335756105 22.4375498136 23.671206017
180 18.4823937621 25.0805374072 23.1722354163
181 26.7746598924 25.0601310322 -3.32457653563
182 26.5465301419 16.9269223738 -4.04800042102
183 19.8990035566 25.3562703769 24.1900737504
184 16.8950010674 25.5663710583 23.9156386238
185 15.9046001722 24.344392209 -3.2074119834
186 9.19354411126 15.0403752224 21.6254864378
187 24.8925223405 24.3939249416 23.686389249
188 23.7490295064 26.94730683 23.453099115
189 26.6613125279 26.1602583227 24.054395147
190 25.3721692301 17.8523305715 24.8119880414
191 7.36497723315 13.7718996018 20.7917804997
192 20.154407715 24.354026598 24.1873569586
193 18.2850864169 18.4343734349 23.7420209492
194 19.944829085 24.8334536964 24.1012585792
195 20.4127722999 23.3222631083 23.1661044225
196 16.93988888 13.3750009233 19.8232839196
197 24.5399461757 17.9605246637 22.924186351
198 6.13525425165 22.7341413379 23.5280807021
199 26.7989760017 16.9910094621 26.4182687345
200 23.3514219043 16.1307320423 22.3930040764
201 18.3477304485 24.2820923143 23.4434752975
202 19.1590794829 24.7427260653 23.9625993378
203 17.944640029 16.2533557216 24.5966918771
204 24.3533570879 14.379809832 20.0437578343
205 20.0718951884 12.0537862307 23.1196746468
206 25.702358065 14.3415144729 23.3136076
207 17.190425276 12.043261367 19.7445468853
208 20.3737211934 24.5778417391 23.7806365258
209 11.1257152923 13.8230537282 24.0581824636
210 17.3215716513 26.4020656839 21.7465371888
211 10.8636053253 17.4218830491 26.3209608607
212 5.98439083404 24.1421889333 19.6105966041
213 9.52085564403 24.3154828483 23.4092969282
214 6.17172710598 23.7007526691 24.1513947211
215 4.59482791799 24.5887719655 21.5785908453
216 5.94369149246 24.5612049011 18.1433806375
217 19.648146345 24.6453735942 25.8420170046
218 8.91856799415 25.6722658714 24.1900040949
219 6.13266659567 26.1767664832 25.5654220349
220 20.3987314586 15.0047177009 25.3430011817
221 5.6141627413 25.3903784156 19.6957239752
222 12.3295503884 16.9297806211 25.8951187012
223 6.11255989034 14.9985398595 20.3907279744
224 4.36736908637 25.1942893829 21.0488051146
225 20.1340927517 26.9199197455 25.1539129011
226 20.5837210433 25.721250774 25.4269736628
227 4.53515709523 17.1907044653 24.7712723828
228 16.500031744 25.4494271599 23.6676482551
229 -3.27901935977 14.7343314236 25.0826696844
230 5.89616280889 26.6809358837 -3.84664355958
231 3.94423134131 25.08069667 24.511382432
232 8.94339846118 24.7680945761 -3.32457653563
233 5.29229589061 24.8664577497 25.1131510803
234 5.86038687064 25.6132569365 20.3644022603
235 5.56316445861 26.6174840453 23.5101576097
236 5.76801973762 24.385702839 -3.2074119834
237 5.64366589937 25.108831306 24.905468781
238 8.35452855067 26.1533683768 -3.2074119834
239 4.19081473388 24.5682300831 24.7043133302
240 5.80071891975 24.4641394322 23.1017411514
241 5.56752211942 25.3970464541 -3.2074119834
242 15.6651826425 25.1148968502 -3.2074119834
243 16.2455296683 26.3178469387 16.7967865691
244 12.8777198246 24.7799978319 25.2218792152
245 17.3892539678 24.9955331464 -3.20964227254
246 16.604598614 25.2095031705 14.5570875594
247 5.80422774571 25.652263587 24.3407719694
248 16.7859995686 25.7756683884 3.69047686539
249 17.9262965599 23.015398932 13.3682911367
250 3.92042539082 25.1151229135 22.1445686318
251 3.94496431044 20.2671023205 3.81133470336
252 12.6157604262 27.0409849731 14.2582546747
253 17.2312768882 25.4691707215 13.684459668
254 16.0737283746 26.3187542547 3.76170302593
255 17.4405659584 24.9812223323 23.7095886953
256 17.4909793128 24.7342206279 23.6786486739
257 17.6381425829 25.0150419672 -4.26788271911
258 5.48871466763 25.5232688891 23.9362241706
259 -4.42430342158 21.56429961 -3.70255286292
260 -2.34279929972 25.6526843105 24.8032903195
261 -4.11502423157 23.6895653979 3.04144565072
262 15.9300384733 25.8028061879 -2.53627751128
263 16.2497464088 26.4092436271 24.3091705012
264 16.7089774603 19.1147210473 -0.37247941277
265 0.826116127238 25.4106656789 26.3815495102
266 15.5627226637 25.56471934 16.6347219434
267 16.8240552683 18.5700705774 6.55150693063
268 14.8086034377 24.7313429791 24.3902126576
269 17.0246745384 24.6317737713 7.30685407026
270 15.1375160386 25.4915063919 23.8207993946
271 -4.32629197356 17.8229129433 22.6229685529
272 8.72233384506 24.2625495596 24.7096887741
273 3.15045656312 25.5742035359 -3.47273929758
274 12.7714250136 24.9841669744 17.9359964861
275 6.400135262 25.9168810495 19.5689237344
276 3.27316892029 22.8415479823 -3.24503833422
277 5.31607358518 24.6559912352 -3.39056539602
278 15.9528005991 24.461859844 17.8744247104
279 -1.32200064417 23.7805857277 16.7851165543
280 -0.302707921502 24.9438125417 16.828117583
281 -0.785300280452 25.8140683069 3.09321090527
282 16.647820596 21.9545028875 7.21848081355
283 14.7943924946 24.9874150361 21.9841930256
284 -0.633818230979 25.5164363713 -3.2254034471
285 16.3643397232 24.7308156498 12.6168410798
286 6.21507493156 22.9875504702 -5.54181099452
287 15.5416588563 25.2073023308 -3.53837784991
288 6.53747874957 22.5481724751 -12.2640480196
289 -3.27316396887 23.828357495 23.3936438403
290 15.5254856444 25.1327977922 -4.03455224006
291 4.64612174106 24.6718523876 -2.35149717577
292 16.1858019394 25.8183801028 -1.06759798277
293 0.636095697539 25.0939126641 -3.32457653563
294 -0.32346396406 23.9463826928 20.6359761798
295 -3.16270741183 24.1225268895 -10.2427336261
296 17.6969204927 18.3930810983 -1.19652706574
297 -0.663517261687 23.0302441261 -2.72932294114
298 -0.130770903388 24.3367560096 21.5494147608
299 -3.64289112623 21.4686060486 -13.2900962445
300 -0.467922918614 24.3974273948 -4.50368373795
